cache_file,cache_dataset,graph_index,graph_hash,n_vertices,n_edges,lasserre_level,initial_solver_level_M,warm_start_mode,parameter_vector,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,sdp_seed,gp_rounding_seed,algorithm17_seed,algorithm17_num_seeds,algorithm17_seed_start,algorithm17_seeds_tried_json,algorithm17_candidate_energies_json,sdp_objective_value,rounded_solution_energy,algorithm17_actual_energy,algorithm17_analytic_F_value,algorithm17_F_bound_applicable,algorithm17_lower_bound_energy,rounded_energy_over_sdp_objective,algorithm17_energy_over_sdp_objective,algorithm17_lower_bound_over_sdp_objective,warm_start_compute_time_seconds,cache_created_at,exact_comparison_normalisation_factor,rounded_solution_energy_normalized,algorithm17_actual_energy_normalized,algorithm17_lower_bound_energy_normalized,canonical_graph_hash,exact_result_match_status,exact_result_source,exact_optimal_energy,rounded_energy_over_exact_optimum,algorithm17_energy_over_exact_optimum,algorithm17_lower_bound_over_exact_optimum
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000020_e098d8973f8a_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,20,ce084f85c126f8ff,9,9,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,50,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 7.387837460592836}, {""seed"": 44, ""actual_energy"": 7.433613535521964}, {""seed"": 45, ""actual_energy"": 7.49957091041187}, {""seed"": 46, ""actual_energy"": 7.025129054239078}, {""seed"": 47, ""actual_energy"": 7.441900189779121}, {""seed"": 48, ""actual_energy"": 7.409343597538719}, {""seed"": 49, ""actual_energy"": 7.410511044217582}, {""seed"": 50, ""actual_energy"": 7.583360540438685}]",12.202849214693032,6.698654634888461,7.583360540438685,7.17990151043457,True,7.17990151043457,0.5489418509591056,0.6214417966672751,0.5883791059049961,1615.0024178028107,2026-09-02 13:13:53,2,3.3493273174442306,3.7916802702193424,3.589950755217285,092cf91eb0e3f82d43e7a0bc861fb91854dc112b5eac683f630ed71e6f275773,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.075672763737654,0.551268550445067,0.6240757884212913,0.5908729608750037
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000028_ee00932b07c9_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,28,9a09305d3fada0d0,8,8,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,44,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 6.113111972328825}, {""seed"": 44, ""actual_energy"": 6.4768904744514675}, {""seed"": 45, ""actual_energy"": 6.25374333809539}, {""seed"": 46, ""actual_energy"": 6.170007788602843}, {""seed"": 47, ""actual_energy"": 6.446713278859641}, {""seed"": 48, ""actual_energy"": 6.167112781289065}, {""seed"": 49, ""actual_energy"": 6.352645625188975}, {""seed"": 50, ""actual_energy"": 6.405621053734812}]",10.896859125902374,5.813318818716724,6.4768904744514675,6.473783769393938,True,6.473783769393938,0.5334857275431025,0.5943814084056183,0.5940963074401351,604.6852865219116,2026-09-02 13:03:24,2,2.906659409358362,3.2384452372257337,3.236891884696969,6f09a38a4917c341b52ae9d29f19ed81c7476e89057907705fc1b9b94c18e026,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.427590733424281,0.5355340061767228,0.5966634914608955,0.5963772958715341
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000058_af4d57b3ab14_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,58,dc9f51e48a0eb477,8,7,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,47,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 6.014595254938708}, {""seed"": 44, ""actual_energy"": 6.021038059400195}, {""seed"": 45, ""actual_energy"": 6.0011041022965905}, {""seed"": 46, ""actual_energy"": 5.960916874003105}, {""seed"": 47, ""actual_energy"": 6.110510063809512}, {""seed"": 48, ""actual_energy"": 5.929699710282962}, {""seed"": 49, ""actual_energy"": 5.9357448670614215}, {""seed"": 50, ""actual_energy"": 6.081766016363728}]",8.683929273429516,5.61085884590422,6.110510063809512,5.1431506192124035,True,5.1431506192124035,0.6461198230934395,0.703657281330702,0.5922607678241989,635.5795619487762,2026-09-02 13:45:04,2,2.80542942295211,3.055255031904756,2.5715753096062017,e98a139e8ef14b839ad6c54e820b35ea74601cc572ddf4af02e92c4cc1003a20,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.337429897903184,0.6467953347922282,0.7043929478564572,0.5928799704288851
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000059_cdeb91b53894_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,59,eef048a287f5c5b7,6,5,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,47,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 4.102852076306987}, {""seed"": 44, ""actual_energy"": 4.042800025767445}, {""seed"": 45, ""actual_energy"": 4.097411529087115}, {""seed"": 46, ""actual_energy"": 4.080767866789971}, {""seed"": 47, ""actual_energy"": 4.2238901629281}, {""seed"": 48, ""actual_energy"": 4.1358513666933865}, {""seed"": 49, ""actual_energy"": 3.9296621682542785}, {""seed"": 50, ""actual_energy"": 4.119996734776031}]",6.828427125844053,3.8386898169526145,4.2238901629281,3.9989008848511425,True,3.9989008848511425,0.5621631081664533,0.6185743927677914,0.5856254758458513,62.370636224746704,2026-09-02 13:28:04,2,1.9193449084763072,2.11194508146405,1.9994504424255712,c165804a3b106ef58a7e20a3153571a0dfac0afe95297c591f592ccbef276e24,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,3.4142135623730967,0.5621631082568367,0.6185743928672445,0.5856254759400069
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000084_004ecc818b2f_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,84,aa43e8e35f5c0f94,7,6,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,47,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 4.23970438028673}, {""seed"": 44, ""actual_energy"": 4.313533824087574}, {""seed"": 45, ""actual_energy"": 4.395987999190825}, {""seed"": 46, ""actual_energy"": 4.1953417658266865}, {""seed"": 47, ""actual_energy"": 4.419135064627758}, {""seed"": 48, ""actual_energy"": 4.141586347603363}, {""seed"": 49, ""actual_energy"": 4.314674739984242}, {""seed"": 50, ""actual_energy"": 4.1606040324353275}]",7.818353385127381,3.935746495171575,4.419135064627758,4.573997057364374,True,4.573997057364374,0.5033983885479553,0.5652258022813533,0.5850332969171426,238.35139799118042,2026-09-02 13:48:07,2,1.9678732475857874,2.209567532313879,2.286998528682187,0edbbbe5d5579f07ce16cf359b424d406aaf449d6bc84dfca8fd6358fe578fc2,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,3.90739725796348,0.503627636932784,0.5654832069635778,0.5852997219622766
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000097_c1a8f5359efd_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,97,48dfbf3e80d8c97a,6,5,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,49,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 4.520645570890979}, {""seed"": 44, ""actual_energy"": 4.489744163111298}, {""seed"": 45, ""actual_energy"": 4.401223054728086}, {""seed"": 46, ""actual_energy"": 4.495682581334382}, {""seed"": 47, ""actual_energy"": 4.463457638726764}, {""seed"": 48, ""actual_energy"": 4.539861249518444}, {""seed"": 49, ""actual_energy"": 4.571799319607568}, {""seed"": 50, ""actual_energy"": 4.416908968677649}]",7.44948973113816,4.017444323052025,4.571799319607568,4.486679140122087,True,4.486679140122087,0.5392912089346857,0.613706372464396,0.6022800624005419,61.02616620063782,2026-09-02 13:45:10,2,2.0087221615260127,2.285899659803784,2.2433395700610435,d654f1fb62015d17c03329eb7ef35c04f747aaf49dd3ed24215c979d8fa7c305,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,3.724744871391597,0.5392912080916663,0.6137063715050508,0.6022800614590583
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000099_aa31b41fdb35_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,99,696610ca44b6ccf0,4,3,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,44,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 2.262268320847118}, {""seed"": 44, ""actual_energy"": 2.362177796282452}, {""seed"": 45, ""actual_energy"": 2.2768717500690867}, {""seed"": 46, ""actual_energy"": 2.346484114389817}, {""seed"": 47, ""actual_energy"": 2.3171665334492992}, {""seed"": 48, ""actual_energy"": 2.2369386127744555}, {""seed"": 49, ""actual_energy"": 2.2664817519375156}, {""seed"": 50, ""actual_energy"": 2.2307786805421617}]",4.000000219424379,2.129580320283866,2.362177796282452,2.3312453017365202,True,2.3312453017365202,0.5323950508658531,0.5905444166756525,0.5828112934633785,4.199923992156982,2026-09-02 12:53:23,2,1.064790160141933,1.181088898141226,1.1656226508682601,6ae3285294c6a10fec8936032d73c78b8c6cf20e2aa0925ec5e384679d347e81,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,2.000000000000001,0.5323950800709663,0.5905444490706128,0.5828113254341298
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000100_21fe22b79de0_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,100,7135933bc436ae28,8,7,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,50,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 4.238973214236269}, {""seed"": 44, ""actual_energy"": 4.388611328038713}, {""seed"": 45, ""actual_energy"": 4.335571566425269}, {""seed"": 46, ""actual_energy"": 4.323348017766797}, {""seed"": 47, ""actual_energy"": 4.34119142933541}, {""seed"": 48, ""actual_energy"": 4.183462285588382}, {""seed"": 49, ""actual_energy"": 4.328310219433892}, {""seed"": 50, ""actual_energy"": 4.466901633646721}]",9.450412934170208,3.9239673968836195,4.466901633646721,5.56737253354342,True,5.56737253354342,0.4152165015663586,0.47266734953936024,0.5891142082705471,651.9872999191284,2026-09-02 13:45:20,2,1.9619836984418098,2.2334508168233604,2.78368626677171,47f6e78758e150aed62b7471fb64dd76d7a450b80a9f4309ece685b1748c63f1,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.718162624394901,0.4158363868802492,0.4733730044139371,0.5899937090720172
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000126_dc87f49064c8_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,126,ddbc475d2b80f8d2,8,10,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,48,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 8.160149894179911}, {""seed"": 44, ""actual_energy"": 7.936346817127032}, {""seed"": 45, ""actual_energy"": 8.178487292993964}, {""seed"": 46, ""actual_energy"": 8.018016774433093}, {""seed"": 47, ""actual_energy"": 8.259881352369868}, {""seed"": 48, ""actual_energy"": 8.328013708961311}, {""seed"": 49, ""actual_energy"": 8.26297949975815}, {""seed"": 50, ""actual_energy"": 8.14286517010813}]",12.417767912698547,7.663648073781537,8.328013708961311,7.326846789760115,True,7.326846789760115,0.6171518204930054,0.6706530326150638,0.5900292903902319,857.9596951007843,2026-09-02 13:41:19,2,3.8318240368907683,4.164006854480656,3.6634233948800574,a1ab0a5689d526aa20db5d3d3b03837583fc8b228593702250b7be166ac65fa5,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.164247938460209,0.6216206867642534,0.675509307226341,0.5943017593473305
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000135_cf7d89a5f488_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,135,5696b53ea6d9853f,7,6,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,49,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 3.9218231273899664}, {""seed"": 44, ""actual_energy"": 3.981106371982184}, {""seed"": 45, ""actual_energy"": 3.9698011479997293}, {""seed"": 46, ""actual_energy"": 3.955613823726748}, {""seed"": 47, ""actual_energy"": 3.9272142109235015}, {""seed"": 48, ""actual_energy"": 3.917739234570213}, {""seed"": 49, ""actual_energy"": 3.981689390514244}, {""seed"": 50, ""actual_energy"": 3.932548860275053}]",7.0000000021142,3.8029190959288988,3.981689390514244,4.09683373020927,True,4.09683373020927,0.5432741563971869,0.5688127699016656,0.5852619612817013,205.2861247062683,2026-09-02 13:23:01,2,1.9014595479644494,1.990844695257122,2.048416865104635,a9c3597f0edf3d24cee20c6345f0e4a8931b4c6c5f4eff0f0a266c8f60ec93fe,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,3.5,0.5432741565612712,0.5688127700734634,0.5852619614584672
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000150_20112eaa1bbc_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,150,b6fc2285d5cfd8cd,9,8,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,50,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 6.962979843149354}, {""seed"": 44, ""actual_energy"": 7.037003450469498}, {""seed"": 45, ""actual_energy"": 7.0193107417331015}, {""seed"": 46, ""actual_energy"": 7.061975613591408}, {""seed"": 47, ""actual_energy"": 6.979311251973853}, {""seed"": 48, ""actual_energy"": 7.124946706944085}, {""seed"": 49, ""actual_energy"": 7.107826439960292}, {""seed"": 50, ""actual_energy"": 7.147047314906035}]",9.94924299873302,6.675784356897937,7.147047314906035,5.806419003318208,True,5.806419003318208,0.6709841500250884,0.71835086506744,0.5836040997347861,1636.348524570465,2026-09-02 13:20:35,2,3.3378921784489686,3.5735236574530176,2.903209501659104,f7fc217a0efb5eab2fbaeeb463d33b8ece7a8a272bf5995db8dfdc2b69930cd2,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.968514055852567,0.6718089434641252,0.7192338830648276,0.5843214830476978
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000161_d17c9184af2d_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,161,b2f04170d67007b6,7,7,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,47,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 5.318725203196706}, {""seed"": 44, ""actual_energy"": 5.309881439966493}, {""seed"": 45, ""actual_energy"": 5.355813465126723}, {""seed"": 46, ""actual_energy"": 5.468405913318008}, {""seed"": 47, ""actual_energy"": 5.5775200493217225}, {""seed"": 48, ""actual_energy"": 5.4742341603335145}, {""seed"": 49, ""actual_energy"": 5.47097133622105}, {""seed"": 50, ""actual_energy"": 5.5100675638354675}]",9.792380566153414,4.96118619706949,5.5775200493217225,5.728758772335934,True,5.728758772335934,0.5066373966528054,0.5695775416041302,0.585022072379104,229.10638213157654,2026-09-02 12:57:20,2,2.480593098534745,2.7887600246608613,2.864379386167967,8ff041289d78693765369b41e4af2b9cc6defcce020cee504638767526d3deb5,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.895303227382358,0.5067292021175124,0.5696807521670281,0.5851280815753722
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000162_fcc007c4b00b_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,162,6cedd864def76fdc,7,7,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,49,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 6.387664058409378}, {""seed"": 44, ""actual_energy"": 6.388601201962956}, {""seed"": 45, ""actual_energy"": 6.365587417492455}, {""seed"": 46, ""actual_energy"": 6.421663024489568}, {""seed"": 47, ""actual_energy"": 6.368546787060064}, {""seed"": 48, ""actual_energy"": 6.294853081517217}, {""seed"": 49, ""actual_energy"": 6.460855127034031}, {""seed"": 50, ""actual_energy"": 6.377948211940524}]",9.684923173627116,5.868910492824531,6.460855127034031,5.678060217128467,True,5.678060217128467,0.6059842073715238,0.6671044272842038,0.5862782920767318,218.7310447692871,2026-09-02 13:38:07,2,2.9344552464122655,3.2304275635170154,2.8390301085642333,a960bb7b01f1668180e8c2ce7bd63bd6cb33897e99ac13d5cac444850458642f,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.8415294776842375,0.6061008736883393,0.6672328606914045,0.5863911645379831
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000163_85637b102816_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,163,58e35830464871ce,7,8,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,44,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 5.597798825068008}, {""seed"": 44, ""actual_energy"": 5.853461388694752}, {""seed"": 45, ""actual_energy"": 5.74110334080933}, {""seed"": 46, ""actual_energy"": 5.752973262584256}, {""seed"": 47, ""actual_energy"": 5.772720398882934}, {""seed"": 48, ""actual_energy"": 5.6010516573534}, {""seed"": 49, ""actual_energy"": 5.715436458984554}, {""seed"": 50, ""actual_energy"": 5.579654433675006}]",10.613384906568845,5.238098703921316,5.853461388694752,6.207809014351232,True,6.207809014351232,0.4935370525080408,0.5515169232270021,0.5849037860210922,214.8928451538086,2026-09-02 13:14:05,2,2.619049351960658,2.926730694347376,3.103904507175616,db3b3e90bb03235f37fba5ce35728b83d146c76aab8952df9f81f6d4fdcf248b,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.298449737843763,0.49430484038648187,0.5523749094840763,0.5858137116987675
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000164_2c0bda49f51c_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,164,5062af503cdda078,7,8,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,44,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 7.169800140290193}, {""seed"": 44, ""actual_energy"": 7.491028765660118}, {""seed"": 45, ""actual_energy"": 7.448197269390057}, {""seed"": 46, ""actual_energy"": 7.142736236818463}, {""seed"": 47, ""actual_energy"": 7.208751380500724}, {""seed"": 48, ""actual_energy"": 7.148951427091886}, {""seed"": 49, ""actual_energy"": 7.375331340981839}, {""seed"": 50, ""actual_energy"": 7.3228958662821615}]",10.715177028282302,6.810929848165266,7.491028765660118,6.252790005135347,True,6.252790005135347,0.6356339078848698,0.6991045267742971,0.5835451890931289,201.00383281707764,2026-09-02 12:56:40,2,3.405464924082633,3.745514382830059,3.1263950025676737,c8933d3177c384785caa5ff3f2fb75acbf69c93d0337de0a6751949d89a1215b,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.349687965370299,0.6365726274367688,0.7001369812735984,0.5844069827633898
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000168_f4e85cf4a95f_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,168,bd6159187dfe622c,7,11,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,44,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 10.613013426906335}, {""seed"": 44, ""actual_energy"": 10.771254660689683}, {""seed"": 45, ""actual_energy"": 10.742661947495723}, {""seed"": 46, ""actual_energy"": 10.744893128660733}, {""seed"": 47, ""actual_energy"": 10.640685060730098}, {""seed"": 48, ""actual_energy"": 10.514142453974621}, {""seed"": 49, ""actual_energy"": 10.738298311025503}, {""seed"": 50, ""actual_energy"": 10.651830742792223}]",13.905146539543058,10.117208864257798,10.771254660689683,8.110969911178842,True,8.110969911178842,0.7275873602257099,0.7746235992593604,0.5833070430515132,330.349148273468,2026-09-02 13:16:00,2,5.058604432128899,5.385627330344842,4.055484955589421,17d0747ae3713981a9f57ddc8473ae515ec1df0da8251db7cfbccda2f64a6504,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.952515088286653,0.7275934489738043,0.7746300816259073,0.5833119244030057
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4b_tf829_upto10_L2M2_kbest8_gpseed42_alg17start43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000179_97b65fe3a6a5_seed42_L2_M2_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,179,87d323429096705f,6,7,2,2,amplified,"[1, 1, 1]",scs,1e-07,100000,42,42,46,8,43,"[43, 44, 45, 46, 47, 48, 49, 50]","[{""seed"": 43, ""actual_energy"": 5.72787667040062}, {""seed"": 44, ""actual_energy"": 5.713004612839744}, {""seed"": 45, ""actual_energy"": 5.636360359387202}, {""seed"": 46, ""actual_energy"": 5.78586891504031}, {""seed"": 47, ""actual_energy"": 5.7407279723924685}, {""seed"": 48, ""actual_energy"": 5.771565986930443}, {""seed"": 49, ""actual_energy"": 5.738369807311453}, {""seed"": 50, ""actual_energy"": 5.670191774751409}]",9.561552811019117,5.230284641823486,5.78586891504031,5.615349565062878,True,5.615349565062878,0.5470120539203523,0.6051181256220687,0.5872842702486069,61.44018769264221,2026-09-02 13:52:34,2,2.615142320911743,2.892934457520155,2.807674782531439,55d67cb33f1c5e7091b808ae9b4c28e4205b4f6dad19c52225fec2daf6402c73,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.780776406404414,0.5470120538179639,0.6051181255088041,0.5872842701386803
