cache_file,cache_dataset,graph_index,graph_hash,n_vertices,n_edges,lasserre_level,initial_solver_level_M,warm_start_mode,parameter_vector,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,sdp_seed,gp_rounding_seed,algorithm17_seed,algorithm17_num_seeds,algorithm17_seed_start,algorithm17_seeds_tried_json,algorithm17_candidate_energies_json,sdp_objective_value,rounded_solution_energy,algorithm17_actual_energy,algorithm17_analytic_F_value,algorithm17_F_bound_applicable,algorithm17_lower_bound_energy,rounded_energy_over_sdp_objective,algorithm17_energy_over_sdp_objective,algorithm17_lower_bound_over_sdp_objective,warm_start_compute_time_seconds,cache_created_at,exact_comparison_normalisation_factor,rounded_solution_energy_normalized,algorithm17_actual_energy_normalized,algorithm17_lower_bound_energy_normalized,canonical_graph_hash,exact_result_match_status,exact_result_source,exact_optimal_energy,rounded_energy_over_exact_optimum,algorithm17_energy_over_exact_optimum,algorithm17_lower_bound_over_exact_optimum
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000000_2870a2ee8414_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,0,031f49f789e6245e,5,4,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],3.9999999706129676,1.99999999362336,,,,,0.500000002079219,,,0.027669668197631836,2026-09-01 21:26:02,1,1.99999999362336,,,d3cd38ec70346e15b455deda9d7f292d03e1bbdc81fe5a6ecf43ab4819a3616e,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,2.8546376797184614,0.7006143048670925,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000001_9fea667002e0_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,1,d03b37ac9dce166c,10,9,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],9.000000027458281,4.499999988663022,,,,,0.49999999721487576,,,0.0637822151184082,2026-09-01 21:40:03,1,4.499999988663022,,,b8b033b08cf8e5555b0e219470fc8f5db0e099f65f6314b7b2cf4e84e5a5c7ec,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,4.9999999999999964,0.8999999977326051,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000002_cd6b8d10fc74_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,2,01f38c658bb15509,12,11,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],11.000000003451612,5.499999996717974,,,,,0.4999999995447425,,,0.1773371696472168,2026-09-01 21:47:26,1,5.499999996717974,,,611dcd6979b3186b6a5fa692a3decb5ccb46bac8f2ac247a200d51252b5db3c8,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.458039891549806,0.8516515984849513,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000003_99da89ef8798_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,3,9ee8c335e588991b,13,12,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],11.999999993296946,5.999999823189577,,,,,0.499999985545092,,,0.5102183818817139,2026-09-01 21:32:58,1,5.999999823189577,,,0ca2378b01307d72c01d02a7fa8b165e49fcf8889127074a983e96cbe8daf11e,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.955671158537665,0.8626054461796889,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000004_dcf1071fcc31_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,4,faea56c01340eb7c,8,8,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],8.00000000490588,3.999999999998992,,,,,0.4999999996932565,,,0.04528212547302246,2026-09-01 21:39:52,1,3.999999999998992,,,b1e8121bde6b0dc6bc4f75319bfe2ef8dca2dd206c470f0926cbd7e1a7334e9b,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.467166254526778,0.731640453898218,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000005_927efc85ece4_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,5,1b6d253224468501,13,12,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],12.0000000139721,5.9999999784768905,,,,,0.4999999976242367,,,0.5067160129547119,2026-09-01 21:47:12,1,5.9999999784768905,,,6fad1690745cc01341aaf7aefccade4b6666ce831f563adf873a6a17967baa60,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,8.293997916686806,0.7234146956325381,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000006_d43d75b8eb53_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,6,8e3ba610f6841016,11,10,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],10.000000045176089,4.999999999688353,,,,,0.4999999977100309,,,0.09229922294616699,2026-09-01 21:39:44,1,4.999999999688353,,,091f18fc45f21da286b67f4e51802993cdc8a64804cab706ef5fa52077d5ac4f,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.500000000000007,0.9090909090342448,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000007_a663f4af7f5b_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,7,b125d177845a194c,13,12,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],12.000001324703451,5.999999998914305,,,,,0.4999999447135544,,,0.7025275230407715,2026-09-01 21:46:45,1,5.999999998914305,,,90416f603feb5ab92e3f76cb8b59ee1794eb715786479faee647b6936a41b29c,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.982696102118912,0.8592669523586446,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000008_a9ba2966dd1c_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,8,f793499c6d3605b3,6,9,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],9.000001550172705,4.499999999998527,,,,,0.4999999138791454,,,0.03582930564880371,2026-09-01 21:47:34,1,4.499999999998527,,,08d3f73c9bb85e738fdeb35ef3ff83284b6cb907fb916a10893f334e560d8b70,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,5.999999999999998,0.7499999999997548,,
/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Results/warm_start_cache_experiments/Exp4a_tf829_L1M1_gpseed43/triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099/hog_idx000009_f31a59580ffc_seed43_L1_M1_amplified.npz,triangleFree_connected_4to15vertices_829instances_AdjacencyList__filehash_af0e2099,9,7332a8bb57f892d1,12,11,1,1,amplified,"[1, 1, 1]",scs,1e-07,100000,43,43,,1,,[],[],10.999999977947267,5.499999993070132,,,,,0.5000000003724089,,,0.29871439933776855,2026-09-01 21:39:33,1,5.499999993070132,,,d070b2b29198d25630e5cf664bcd40cb3b678b4cd488e33051039c8fce7ca8e5,matched,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/Code/optimal_results/optimal_results_misc.csv,6.000000000000013,0.9166666655116866,,
